"url_bollettino","data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali","nuovi_morti_abbattuti","totale_morti_abbattuti","equidi_presenti_focolaio"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,1,2,0,0,"5"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,7,7,0,0,"18"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,1,1,0,0,"4"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,3,23,0,0,"25"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,3,3,0,0,"74"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,1,1,0,0,"1"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,3,3,0,0,"106"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,21,0,0,"47"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,4,6,0,1,"98"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,3,9,0,0,"10"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,5,20,0,0,"46"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,1,2,1,1,"3"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,3,12,0,0,"14"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2,0,0,"3"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,2,3,0,0,"NA"
